,Open,High,Low,Close,Volume,Daily_Return,MA_20,MA_50
2025-10-21,261.88,265.29,261.83,262.77,46695948.0,0.0020210494203782847,254.218,242.44
2025-10-22,262.65,262.85,255.43,258.45,45015254.0,-0.016440232903299434,254.525,243.01600000000002
2025-10-23,259.94,260.62,258.0101,259.58,32754941.0,0.0043722189978718795,254.6605,243.54100000000003
2025-10-24,261.19,264.13,259.18,262.82,38253717.0,0.012481701209646312,255.02849999999998,244.1418
2025-10-27,264.88,269.12,264.6501,268.81,44888152.0,0.02279126398295417,255.7475,244.8862
2025-10-28,268.985,269.89,268.15,269.0,41534759.0,0.0007068189427477112,256.466,245.6484
2025-10-29,269.275,271.41,267.11,269.7,51086742.0,0.0026022304832713505,257.1785,246.43120000000002
2025-10-30,271.99,274.14,268.48,271.4,69886534.0,0.006303299962921782,257.892,247.33900000000003
2025-10-31,276.99,277.32,269.16,270.37,86167123.0,-0.0037951363301399477,258.5095,248.2484
2025-11-03,270.42,270.85,266.25,269.05,50194583.0,-0.004882198468765031,259.1275,249.07420000000002
2025-11-04,268.325,271.486,267.615,270.04,49274846.0,0.0036796134547483206,259.80550000000005,249.9318
2025-11-05,268.61,271.7,266.93,270.14,42586288.0,0.00037031550881327924,260.4095,250.7484
2025-11-06,267.89,273.4,267.89,269.77,51204045.0,-0.0013696601762049898,261.196,251.534
2025-11-07,269.795,272.29,266.77,268.47,48227365.0,-0.004818919820587686,262.35600000000005,252.25220000000002
2025-11-10,268.96,273.73,267.455,269.43,41312412.0,0.003575818527209673,263.44449999999995,252.99800000000002
2025-11-11,269.81,275.91,269.8,275.25,46208318.0,0.021601158000222664,264.8185,253.9086
2025-11-12,275.0,275.73,271.7,273.47,48397982.0,-0.006466848319709229,266.025,254.6086
2025-11-13,274.11,276.699,272.09,272.95,49602794.0,-0.0019014882802502742,267.3,255.27200000000002
2025-11-14,271.05,275.96,269.6,272.41,47431331.0,-0.0019783843194722817,268.306,255.9264
2025-11-17,268.815,270.49,265.73,267.46,45018260.0,-0.01817113909181034,268.567,256.518
2025-11-18,269.99,270.71,265.32,267.44,45677278.0,-7.477753682783028e-05,268.8005,257.1798
2025-11-19,265.525,272.21,265.5,268.56,40424492.0,0.004187855219862424,269.306,258.0152
2025-11-20,270.83,275.43,265.92,266.25,45823568.0,-0.008601429848078657,269.6395,258.7396
2025-11-21,265.95,273.33,265.67,271.49,59030832.0,0.019680751173708932,270.073,259.488
2025-11-24,270.9,277.0,270.9,275.92,65585796.0,0.01631735975542381,270.4285,260.2724
2025-11-25,275.27,280.38,275.25,276.97,46914220.0,0.003805450855320469,270.827,261.0488
2025-11-26,276.96,279.53,276.63,277.55,33431423.0,0.002094089612593386,271.21950000000004,261.82
2025-11-28,277.26,279.0,275.9865,278.85,20135620.0,0.004683840749414525,271.592,262.6394
2025-12-01,278.01,283.42,276.14,283.1,46587722.0,0.01524116908732287,272.2285,263.39140000000003
2025-12-02,283.0,287.4,282.6301,286.19,53669532.0,0.010914871070293097,273.0855,263.9936
2025-12-03,286.2,288.62,283.3,284.15,43538687.0,-0.007128131660784853,273.791,264.588
2025-12-04,284.095,284.73,278.59,280.7,43989056.0,-0.012141474573288735,274.319,265.1558
2025-12-05,280.54,281.14,278.05,278.78,47265845.0,-0.006840042750267283,274.7695,265.594
2025-12-08,278.13,279.6693,276.15,277.89,36406317.0,-0.003192481526651747,275.2405,266.0426
2025-12-09,278.16,280.03,276.92,277.18,31753410.0,-0.0025549677930115644,275.62800000000004,266.49760000000003
2025-12-10,277.75,279.75,276.44,278.78,33038318.0,0.005772422252687592,275.8045,266.98060000000004
2025-12-11,279.095,279.59,273.81,278.03,33247986.0,-0.0026902934213358654,276.03249999999997,267.4322
2025-12-12,277.9,279.22,276.82,278.28,39532887.0,0.0008991835413445504,276.29900000000004,267.8552
2025-12-15,280.15,280.15,272.84,274.11,50409078.0,-0.014984907287623805,276.384,268.17699999999996
2025-12-16,272.82,275.5,271.79,274.61,37648628.0,0.001824085221261429,276.7415,268.5354
2025-12-17,275.01,276.16,271.64,271.84,50138743.0,-0.010087032518845018,276.9615,268.8426
2025-12-18,273.605,273.63,266.95,272.19,51630721.0,0.0012875220718069347,277.14300000000003,269.1252
2025-12-19,272.145,274.6,269.9,273.67,144632048.0,0.0054373783019214805,277.514,269.5178
2025-12-22,272.86,273.88,270.505,270.97,36571827.0,-0.00986589688310735,277.488,270.0318
2025-12-23,270.84,272.5,269.56,272.36,29641999.0,0.005129719157102253,277.31000000000006,270.5258
2025-12-24,272.34,275.43,272.195,273.81,17910574.0,0.005323836099280221,277.152,271.0466
2025-12-26,274.16,275.37,272.86,273.4,21521802.0,-0.0014973887001936692,276.9445,271.5278
2025-12-29,272.69,274.36,272.35,273.76,23715213.0,0.0013167520117045584,276.68999999999994,272.054
2025-12-30,272.81,274.08,272.28,273.08,22139617.0,-0.002483927527761609,276.18899999999996,272.4698
2025-12-31,273.06,273.68,271.75,271.86,27293639.0,-0.004467555295151526,275.47249999999997,272.6622
2026-01-02,272.255,277.84,269.0,271.01,37838054.0,-0.003126609284190507,274.8155,272.827
